program_code,year,placed_pref_uni_devlet_count,placed_pref_uni_vakif_count,placed_pref_uni_kktc_count,placed_pref_uni_yurt_disi_count
200290149,2022,186,358,0,0
201050447,2022,42,31,0,0
108890302,2022,242,12,4,0
200651857,2022,33,28,0,0
108190131,2022,604,6,0,0
200651848,2022,3,14,0,0
101870205,2022,1377,11,0,0
107690200,2022,769,31,0,0
101370256,2022,1120,23,0,0
205550457,2022,79,109,0,0
102190030,2022,597,21,4,0
106051352,2022,1502,5,1,0
105190068,2022,725,17,0,0
103050778,2022,703,10,0,0
112370767,2021,459,7,0,0
300150509,2021,33,9,23,0
202752769,2021,45,177,5,0
206290197,2021,55,159,0,0
107690200,2021,643,71,1,0
208910010,2021,150,289,3,0
100751363,2021,621,37,2,0
202456313,2021,0,47,0,0
105690478,2021,4829,413,7,0
103390114,2021,1120,10,1,0
200690543,2021,57,82,0,0
101451724,2021,5122,85,2,0
101370265,2021,902,3,1,0
202453576,2021,14,42,0,0
205052979,2021,11,39,0,0
109950257,2021,619,130,0,0
105190068,2021,576,0,0,0
107790206,2021,449,13,0,0
104790037,2021,1000,17,0,0
300350491,2021,0,0,32,0
202353108,2021,20,70,0,0
102790217,2021,685,58,1,0
205550448,2021,35,39,0,0
103670149,2021,870,11,0,0
205052485,2021,107,411,3,0
208550033,2021,137,83,2,0
203150988,2021,41,335,6,0
200751247,2021,31,62,0,0
106951697,2021,580,14,0,0
202751647,2021,114,482,0,0
206850715,2021,75,140,0,0
110670119,2021,591,35,0,1
204590392,2021,94,395,1,0
105350875,2021,650,10,0,0
108950224,2021,917,56,0,0
112070694,2021,635,11,0,0
206850672,2021,16,114,0,0
102090060,2021,585,11,0,0
201450091,2021,3,93,0,0
104251232,2021,806,54,0,0
204050023,2021,67,27,0,0
103990106,2021,480,7,0,0
111750659,2021,768,105,0,0
108970185,2021,992,44,0,0
201450028,2021,42,122,0,0
201250709,2021,22,66,0,0
201290238,2021,85,343,2,0
107050254,2021,775,18,0,0
102551305,2021,1426,29,1,0
105651058,2021,523,314,0,0
208150152,2021,0,0,0,0
208550015,2021,56,76,0,0
300450233,2021,5,0,8,0
101370256,2021,1031,11,0,0
101150853,2021,564,75,0,0
200690346,2021,3,7,0,0
207450867,2021,0,0,0,0
201290288,2021,20,63,0,0
107250525,2021,325,162,5,0
203150979,2021,34,45,0,0
205850206,2021,20,35,0,0
300350331,2021,60,17,101,0
208150188,2021,11,82,0,0
207450513,2021,0,6,1,0
207450549,2021,62,196,0,0
109252993,2021,1117,27,0,0
207450522,2021,40,76,0,0
106051352,2021,1387,8,0,0
